latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
56.48666,-107.1997,369.02,2.23,1.45,2023-06-01,0512,Terra,MODIS,100,6.1NRT,288.73,362.06,N
56.48839,-107.16362,337.95,2.24,1.45,2023-06-01,0512,Terra,MODIS,86,6.1NRT,286.23,124.24,N
56.47375,-107.19728,346.11,2.23,1.45,2023-06-01,0512,Terra,MODIS,100,6.1NRT,283.13,171.88,N
56.47715,-107.12505,349.87,2.25,1.45,2023-06-01,0512,Terra,MODIS,100,6.1NRT,288.22,197.2,N
56.42105,-107.9899,309.43,2.06,1.4,2023-06-01,0512,Terra,MODIS,47,6.1NRT,287.81,27.02,N
56.42281,-107.95683,305.99,2.07,1.4,2023-06-01,0512,Terra,MODIS,30,6.1NRT,286.45,21.28,N
58.42489,-113.89272,306.34,1.28,1.12,2023-06-01,0512,Terra,MODIS,30,6.1NRT,284.14,12.78,N
58.69831,-119.63911,306.56,1,1,2023-06-01,0512,Terra,MODIS,44,6.1NRT,283.07,9.46,N
58.60877,-119.8718,300.62,1,1,2023-06-01,0512,Terra,MODIS,12,6.1NRT,279.33,6.24,N
58.60014,-119.86722,303.88,1,1,2023-06-01,0512,Terra,MODIS,28,6.1NRT,283.43,8.16,N
59.31579,-113.37115,365.62,1.37,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,287.77,166.11,N
59.31785,-113.34745,315.35,1.37,1.16,2023-06-01,0512,Terra,MODIS,91,6.1NRT,285.81,25.39,N
59.30555,-113.36769,385.59,1.37,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,294.76,284.14,N
59.30761,-113.34401,339.65,1.37,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,287.26,71.36,N
59.29532,-113.36417,318.46,1.37,1.16,2023-06-01,0512,Terra,MODIS,57,6.1NRT,284.99,26.76,N
59.29737,-113.34045,336.84,1.37,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,285.05,63.65,N
58.58578,-119.56828,311.43,1,1,2023-06-01,0512,Terra,MODIS,82,6.1NRT,278,14.65,N
59.29914,-113.35896,336.14,1.37,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,287.22,61.93,N
59.30127,-113.33524,304.92,1.37,1.16,2023-06-01,0512,Terra,MODIS,42,6.1NRT,283.3,13.32,N
59.27832,-113.4732,312.08,1.36,1.15,2023-06-01,0512,Terra,MODIS,84,6.1NRT,285.98,21.35,N
59.28891,-113.35542,351.22,1.37,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,287.12,105.77,N
59.29102,-113.33177,336.33,1.37,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,284.56,62.87,N
59.26814,-113.46962,317.34,1.36,1.15,2023-06-01,0512,Terra,MODIS,95,6.1NRT,286.87,27.94,N
59.26634,-113.37207,348.96,1.37,1.16,2023-06-01,0512,Terra,MODIS,100,6.1NRT,290.48,96.65,N
59.2436,-113.50919,310.23,1.35,1.15,2023-06-01,0512,Terra,MODIS,79,6.1NRT,281.13,19.67,N
59.24567,-113.48596,339.51,1.35,1.15,2023-06-01,0512,Terra,MODIS,100,6.1NRT,285.61,69.19,N
59.24776,-113.46263,327.66,1.36,1.15,2023-06-01,0512,Terra,MODIS,100,6.1NRT,288,41.78,N
59.25611,-113.36861,305.68,1.37,1.16,2023-06-01,0512,Terra,MODIS,54,6.1NRT,286.17,13.58,N
59.23965,-113.43571,310.12,1.36,1.15,2023-06-01,0512,Terra,MODIS,5,6.1NRT,286.01,14.98,N
59.24172,-113.41234,317.59,1.36,1.16,2023-06-01,0512,Terra,MODIS,21,6.1NRT,287.86,24.21,N
59.22945,-113.43223,306.07,1.36,1.15,2023-06-01,0512,Terra,MODIS,33,6.1NRT,287.17,13.39,N
59.21722,-113.45187,314.98,1.36,1.15,2023-06-01,0512,Terra,MODIS,90,6.1NRT,286.56,24.18,N
59.21927,-113.42863,312.57,1.36,1.15,2023-06-01,0512,Terra,MODIS,76,6.1NRT,288.19,20.82,N
58.54998,-119.15247,319.3,1.01,1,2023-06-01,0512,Terra,MODIS,98,6.1NRT,286.63,20.38,N
58.41031,-119.21714,305.21,1,1,2023-06-01,0512,Terra,MODIS,45,6.1NRT,277.47,9.5,N
58.4126,-119.20057,338.48,1,1,2023-06-01,0512,Terra,MODIS,100,6.1NRT,283.41,44.25,N
58.41489,-119.184,349.39,1,1,2023-06-01,0512,Terra,MODIS,100,6.1NRT,287.16,63.87,N
58.41718,-119.16741,334.27,1,1,2023-06-01,0512,Terra,MODIS,100,6.1NRT,281.23,37.84,N
58.40393,-119.19617,308.31,1,1,2023-06-01,0512,Terra,MODIS,74,6.1NRT,282.09,11.87,N
58.36468,-119.21168,317.59,1,1,2023-06-01,0512,Terra,MODIS,95,6.1NRT,280.43,19.51,N
58.98541,-113.33135,306.47,1.36,1.15,2023-06-01,0512,Terra,MODIS,38,6.1NRT,285.14,14.31,N
58.99163,-113.26134,324.58,1.37,1.16,2023-06-01,0512,Terra,MODIS,60,6.1NRT,291.32,36.28,N
58.99371,-113.23788,319.58,1.37,1.16,2023-06-01,0512,Terra,MODIS,18,6.1NRT,289.59,27.93,N
58.9876,-113.18743,328.31,1.37,1.16,2023-06-01,0512,Terra,MODIS,52,6.1NRT,290.92,43.38,N
58.9609,-113.37093,317.45,1.35,1.15,2023-06-01,0512,Terra,MODIS,57,6.1NRT,284.44,26.21,N
58.97734,-113.18406,328.09,1.37,1.16,2023-06-01,0512,Terra,MODIS,46,6.1NRT,289.66,42.76,N
58.95071,-113.36749,308.47,1.35,1.15,2023-06-01,0512,Terra,MODIS,46,6.1NRT,286.17,16.45,N
58.96505,-113.20405,319.3,1.37,1.16,2023-06-01,0512,Terra,MODIS,17,6.1NRT,287.93,25.74,N
58.92186,-113.25515,304.88,1.36,1.16,2023-06-01,0512,Terra,MODIS,60,6.1NRT,284.47,12.99,N
57.80021,-122.06153,300.23,1.05,1.02,2023-06-01,0512,Terra,MODIS,22,6.1NRT,280.99,7.44,N
58.90747,-113.29832,327.33,1.36,1.15,2023-06-01,0512,Terra,MODIS,65,6.1NRT,288.19,38.41,N
60.04921,-120.37617,324.68,1,1,2023-06-01,0514,Terra,MODIS,55,6.1NRT,270.46,23.84,N
60.08717,-120.30994,324.1,1,1,2023-06-01,0514,Terra,MODIS,60,6.1NRT,274.37,24.78,N
60.498,-118.75471,327.22,1.04,1.02,2023-06-01,0514,Terra,MODIS,48,6.1NRT,285.96,27.35,N
60.09579,-120.31483,333.26,1,1,2023-06-01,0514,Terra,MODIS,98,6.1NRT,274.64,36.42,N
60.09821,-120.29749,323.74,1,1,2023-06-01,0514,Terra,MODIS,83,6.1NRT,273.24,24.89,N
60.08475,-120.32726,307.99,1,1,2023-06-01,0514,Terra,MODIS,24,6.1NRT,272.62,11.7,N
60.00502,-120.42565,325.88,1,1,2023-06-01,0514,Terra,MODIS,100,6.1NRT,269.22,28.38,N
60.01607,-120.4133,354.57,1,1,2023-06-01,0514,Terra,MODIS,100,6.1NRT,274.43,76.18,N
60.01365,-120.43056,323.2,1,1,2023-06-01,0514,Terra,MODIS,25,6.1NRT,268,23.04,N
60.02954,-120.38367,323.81,1,1,2023-06-01,0514,Terra,MODIS,0,6.1NRT,272.69,22.6,N
60.02712,-120.40093,341.21,1,1,2023-06-01,0514,Terra,MODIS,45,6.1NRT,273.74,45.63,N
60.03817,-120.38856,344.64,1,1,2023-06-01,0514,Terra,MODIS,94,6.1NRT,272.16,52,N
59.85053,-120.90362,303.49,1.18,1.08,2023-06-01,1028,Aqua,MODIS,53,6.1NRT,276.56,13.02,N
59.93269,-120.62541,302.24,1.17,1.08,2023-06-01,1028,Aqua,MODIS,28,6.1NRT,276.43,11.4,N
60.16771,-120.99168,304.81,1.2,1.09,2023-06-01,1028,Aqua,MODIS,33,6.1NRT,277.74,12.95,N
60.11711,-120.44547,314.11,1.16,1.07,2023-06-01,1028,Aqua,MODIS,41,6.1NRT,278.89,19.7,N
60.11866,-120.43756,324.62,1.16,1.07,2023-06-01,1028,Aqua,MODIS,96,6.1NRT,282.36,32.11,N
60.1281,-120.43329,301.48,1.16,1.07,2023-06-01,1028,Aqua,MODIS,23,6.1NRT,277.24,10.68,N
56.48151,-107.1146,307.56,1.91,1.35,2023-06-01,1030,Aqua,MODIS,9,6.1NRT,266.53,24.44,N
56.41985,-107.02761,308.08,1.94,1.36,2023-06-01,1030,Aqua,MODIS,59,6.1NRT,283.38,26.68,N
56.41748,-107.03729,308.26,1.94,1.36,2023-06-01,1030,Aqua,MODIS,54,6.1NRT,283,26.22,N
58.41432,-119.19454,313.95,1.05,1.02,2023-06-01,1030,Aqua,MODIS,88,6.1NRT,276.96,18.46,N
58.41206,-119.17705,304.7,1.05,1.02,2023-06-01,1030,Aqua,MODIS,61,6.1NRT,277.74,11.35,N
57.55766,-121.28181,304.39,1.13,1.06,2023-06-01,1030,Aqua,MODIS,60,6.1NRT,275.98,12.88,N
57.47721,-121.22163,300.71,1.13,1.06,2023-06-01,1030,Aqua,MODIS,32,6.1NRT,270.85,10.95,N
57.31539,-121.58839,301.09,1.15,1.07,2023-06-01,1030,Aqua,MODIS,37,6.1NRT,275.4,11.03,N
56.49263,-107.10565,308.81,1.91,1.35,2023-06-01,1030,Aqua,MODIS,53,6.1NRT,270.09,29.52,N
48.03764,-102.87335,313.19,1.75,1.3,2023-06-01,1705,Terra,MODIS,36,6.1NRT,297.89,10.76,D
49.32995,-95.41756,308.59,1,1,2023-06-01,1705,Terra,MODIS,30,6.1NRT,292.32,4.47,D
55.65126,-95.41719,300.9,2.64,1.56,2023-06-01,1826,Aqua,MODIS,11,6.1NRT,282.95,11.28,D
60.4729,-119.13841,347.8,1.19,1.09,2023-06-01,1838,Terra,MODIS,95,6.1NRT,297.76,69.31,D
60.4244,-118.67956,314.8,1.16,1.07,2023-06-01,1838,Terra,MODIS,30,6.1NRT,295.98,11.55,D
60.42219,-118.65907,324.16,1.16,1.07,2023-06-01,1838,Terra,MODIS,50,6.1NRT,295.36,21.79,D
60.41556,-118.59767,328.72,1.15,1.07,2023-06-01,1838,Terra,MODIS,37,6.1NRT,296.17,27.95,D
60.47113,-119.14629,339.03,1.19,1.09,2023-06-01,1838,Terra,MODIS,91,6.1NRT,298.08,50.6,D
60.46888,-119.12514,310.04,1.19,1.09,2023-06-01,1838,Terra,MODIS,61,6.1NRT,295.77,8.06,D
60.41922,-118.6675,331.33,1.16,1.07,2023-06-01,1838,Terra,MODIS,74,6.1NRT,297.2,32.36,D
